,sound,midpoint,word,phoneme,stress,duration,intensity,F0,F1,F2,F3,Vowel,Context,F1/S(F1),F2/S(F2),F1g/S(F1g),F2g/S(F2g)
174,ngf_00610_00024524397,5.84,getting,ɛ,0,0.0600000000000005,59.757671338172700,171.8621274193580,506.368948018814,2311.5871331093900,2777.701086330920,DRESS,getting,1.116,1.618,NA,NA
176,ngf_00610_00024524397,5.985000000000000,getting,i,1,0.0300000000000002,57.11107468556810,195.08633262154400,299.4430323386540,1293.9437962266400,2315.6598408898000,HAPPY,getting,0.66,0.905,NA,NA
180,ngf_00610_00024524397,6.085,your,ʊ,NA,0.0299999999999993,57.682798361869900,153.06859552007300,472.4959978204750,2350.0720483418500,2772.4807468798600,FOOT,your,1.042,1.645,NA,NA
181,ngf_00610_00024524397,6.115,your,a,NA,0.0300000000000002,56.63641222500690,149.61711657629400,454.7380655918250,1993.888248548260,2537.1571794695500,BAT,your,1.002,1.395,NA,NA
183,ngf_00610_00024524397,6.290000000000000,sink,i,NA,0.04,52.7231738568,171.9064991059620,535.4156419745460,2144.781125475080,2858.4788698913300,HAPPY,sink,1.18,1.501,NA,NA
187,ngf_00610_00024524397,6.475,repaired,i,0,0.0300000000000002,51.361754601218800,147.02660291026000,424.8148890203500,1765.39449089351,1998.9398790250800,HAPPY,repaired,0.936,1.235,NA,NA
189,ngf_00610_00024524397,6.675000000000000,repaired,ɛː,1,0.1100000000000000,50.401290863881700,151.3465025090160,574.7233522406990,2127.7100096726,2665.4717200428600,GLARE,repaired,1.267,1.489,NA,NA
194,ngf_00610_00122793248,0.76,the,a,NA,0.04,63.11815008834640,222.53604997859100,421.9322361325940,1559.1032557877200,2998.205327880860,BAT,the,0.93,1.091,NA,NA
196,ngf_00610_00122793248,0.91,google,uː,1,0.0999999999999999,60.86816287807980,281.4211849669500,368.5069407863130,980.3988992034090,3093.18824567193,STEW,google,0.812,0.686,NA,NA
198,ngf_00610_00122793248,1.02,google,ʊ,0,0.04,67.50439184733680,340.08971478247800,359.82632184344800,1018.668276063,3082.1158494208000,FOOT,google,0.793,0.713,NA,NA
200,ngf_00610_00122793248,1.2,assistant,a,0,0.1200000000000000,61.36710714860390,222.37916563941500,822.2272334618010,1168.2680129966800,1638.0396125446900,BAT,assistant,1.813,0.818,NA,NA
202,ngf_00610_00122793248,1.41,assistant,i,1,0.04,64.37915710836570,233.7219394042980,444.5297191729560,1414.675694582900,2189.992625687950,HAPPY,assistant,0.98,0.99,NA,NA
205,ngf_00610_00122793248,1.5750000000000000,assistant,a,0,0.07,66.83136761583670,227.43516327666800,670.2011798154490,1969.1004889817800,2996.699107242970,BAT,assistant,1.477,1.378,NA,NA
209,ngf_00610_00122793248,1.83,uses,uː,1,0.04,64.81059867124710,214.22208376184600,330.8271121646250,2367.8279175699500,2916.251233475270,STEW,uses,0.729,1.657,NA,NA
211,ngf_00610_00122793248,1.955,uses,ɛ,0,0.07,64.00566725025640,215.93982114050100,386.245277014204,1924.0143137597200,2900.0255874102600,DRESS,uses,0.851,1.346,NA,NA
216,ngf_00610_00122793248,2.495,recordings,i,NA,0.0099999999999997,58.7420459169028,171.89465044139300,438.8550262516910,866.9502556344680,2238.075353582590,HAPPY,recordings,0.967,0.607,NA,NA
218,ngf_00610_00122793248,2.545,recordings,ɔ,NA,0.0700000000000002,65.58026726819530,180.7168818427600,533.7796163195410,1101.192696558640,3050.692417518140,THOUGHT,recordings,1.177,0.771,NA,NA
220,ngf_00610_00122793248,2.615,recordings,i,NA,0.0100000000000002,64.85366179035260,178.4612678262510,485.9588130514210,1998.296788411410,2720.2412889278400,HAPPY,recordings,1.071,1.398,NA,NA
225,ngf_00610_00122793248,2.81,to,uː,NA,0.04,58.45508818542460,173.44636204708700,354.4942263902960,2013.836617509810,2800.246822234350,STEW,to,0.781,1.409,NA,NA
228,ngf_00610_00122793248,3.015,create,iː,0,0.0299999999999998,63.711997418777000,177.5549468914550,411.5836608217780,2144.5643830831500,2400.508912520000,FLEECE,create,0.907,1.501,NA,NA
229,ngf_00610_00122793248,3.05,create,e,1,0.04,63.34842794551460,183.01678241274200,390.4450239183940,2426.941632504130,2817.9024968147500,FACE,create,0.861,1.698,NA,NA
231,ngf_00610_00122793248,3.16,and,ɛ,NA,0.04,59.11499664047660,182.181047685368,609.533439985091,1834.35841195586,2741.3879712979400,DRESS,and,1.344,1.284,NA,NA
233,ngf_00610_00122793248,3.255,update,ɔ,0,0.0299999999999998,60.301522305514100,155.54234104704500,555.7519050158860,1160.3401626037800,2726.402218620290,THOUGHT,update,1.225,0.812,NA,NA
236,ngf_00610_00122793248,3.465,update,e,1,0.0899999999999998,61.00373196018630,173.22108495932500,349.7178856785850,2688.112777619930,2989.094191456060,FACE,update,0.771,1.881,NA,NA
239,ngf_00610_00122793248,3.675,his,i,NA,0.0299999999999998,56.2476662799434,161.59012918212700,381.5850580513930,2150.852516720420,2957.9731322977100,HAPPY,his,0.841,1.505,NA,NA
245,ngf_00610_00122793248,4.14,model,ɔ,1,0.08,58.1559717602056,154.19152585842800,568.7648719312000,1230.7005063776100,2883.523628622180,THOUGHT,model,1.254,0.861,NA,NA
247,ngf_00610_00122793248,4.275,model,ɛ,0,0.0300000000000002,52.36175730913440,--undefined--,534.9363507346650,1464.7675285304100,2870.1176574805600,DRESS,model,1.179,1.025,NA,NA
251,ngf_00610_00122793248,4.83,which,i,NA,0.04,66.85222920756930,270.2326623902790,341.29691738909400,2124.6095435010300,2737.7788611453400,HAPPY,which,0.752,1.487,NA,NA
253,ngf_00610_00122793248,4.950000000000000,is,i,NA,0.04,61.75358469079380,268.306865427467,330.5850088112030,2035.710246788950,2913.495131296840,HAPPY,is,0.729,1.425,NA,NA
255,ngf_00610_00122793248,5.08,only,o,1,0.0600000000000005,54.10776344696850,--undefined--,656.9562909790590,1422.2260651187800,2709.058559557070,HOAX,only,1.448,0.995,NA,NA
258,ngf_00610_00122793248,5.280000000000000,only,i,0,0.0599999999999996,68.82425605383340,240.8606301675710,405.2135896297270,2613.363215463280,2881.787178338480,HAPPY,only,0.893,1.829,NA,NA
